ticker,date,price,qty,amount,available_cash,order,total_qty
TS,2021-08-20,19.02,157,-2986.14,96916.76,BUY,157
BMA,2021-08-20,14.6,-210,3066.0,100096.78,SELL,0
GGAL,2021-08-20,8.55,-358,3060.9,100256.11,SELL,0
TS,2021-08-23,19.49,-157,3059.93,99976.69,SELL,0
YPF,2021-08-26,4.905,611,-2996.96,97002.1,BUY,611
BMA,2021-08-26,17.09,-175,2990.75,100096.78,SELL,0
BMA,2021-08-26,17.09,175,-2990.75,97106.03,BUY,175
YPF,2021-08-26,4.905,-611,2996.96,99999.06,SELL,0
TS,2021-08-30,20.1,-149,2994.9,99976.69,SELL,0
TS,2021-08-30,20.1,149,-2994.9,96981.79,BUY,149
